EZID	GENE	GeneType	CHR	FROM	TO
3020	H3-3A	coding	1	226249531	226259719
7049	TGFBR3	coding	1	92145899	92371558
9447	AIM2	coding	1	159032273	159046555
3738	KCNA3	coding	1	111196181	111217561
3192	HNRNPU	coding	1	245013598	245027844
6277	S100A6	coding	1	153507074	153508466
5563	PRKAA2	coding	1	57110986	57181007
23385	NCSTN	coding	1	160313172	160328738
5313	PKLR	coding	1	155259083	155271228
134	ADORA1	coding	1	203096853	203136532
1301	COL11A1	coding	1	103342028	103574077
5999	RGS4	coding	1	163038660	163046591
10911	UTS2	coding	1	7907671	7913550
34	ACADM	coding	1	76190393	76229363
5928	RBBP4	coding	1	33116808	33151811
824	CAPN2	coding	1	223889298	223963719
5087	PBX1	coding	1	164528420	164855283
4985	OPRD1	coding	1	29138681	29197778
10747	MASP2	coding	1	11086579	11107295
9261	MAPKAPK2	coding	1	206858249	206907625
7293	TNFRSF4	coding	1	1146719	1149532
6886	TAL1	coding	1	47681961	47698006
4688	NCF2	coding	1	183524696	183560048
2035	EPB41	coding	1	29213611	29446552
1889	ECE1	coding	1	21543742	21671996
9507	ADAMTS4	coding	1	161154091	161168843
6281	S100A10	coding	1	151955390	151966334
23400	ATP13A2	coding	1	17312452	17338422
3914	LAMB3	coding	1	209788214	209825769
9156	EXO1	coding	1	242011505	242053240
4919	ROR1	coding	1	64239687	64647180
6118	RPA2	coding	1	28218034	28241307
2959	GTF2B	coding	1	89318315	89357249
10765	KDM5B	coding	1	202693622	202778597
11004	KIF2C	coding	1	45205508	45233438
8764	TNFRSF14	coding	1	2487809	2495267
4921	DDR2	coding	1	162600652	162757194
1376	CPT2	coding	1	53662495	53679868
8431	NR0B2	coding	1	27237979	27240465
27329	ANGPTL3	coding	1	63063190	63071983
3068	HDGF	coding	1	156711898	156722239
140	ADORA3	coding	1	112042050	112046254
6497	SKI	coding	1	2159757	2241651
7252	TSHB	coding	1	115572446	115576929
6006	RHCE	coding	1	25688739	25747425
9722	NOS1AP	coding	1	162039480	162340264
406962	MIR186	pseudo	1	71533313	71533398
5284	PIGR	coding	1	207101866	207119810
6045	RNF2	coding	1	185014689	185071734
115352	FCRL3	coding	1	157646270	157670558
2947	GSTM3	coding	1	110276558	110283659
2633	GBP1	coding	1	89518001	89530890
7832	BTG2	coding	1	203274646	203278729
3283	HSD3B1	coding	1	120049825	120057680
9970	NR1I3	coding	1	161199458	161207992
83667	SESN2	coding	1	28586028	28609001
6646	SOAT1	coding	1	179262931	179327814
3756	KCNH1	coding	1	210851655	211307489
270	AMPD1	coding	1	115215718	115238238
23418	CRB1	coding	1	197170633	197447584
51744	CD244	coding	1	160799949	160832676
2703	GJA8	coding	1	147374920	147381395
8349	H2BC21	coding	1	149856008	149858231
9122	SLC16A4	coding	1	110905478	110933647
6271	S100A1	coding	1	153600909	153604514
26227	PHGDH	coding	1	120254556	120286837
9869	SETDB1	coding	1	150898738	150937212
3964	LGALS8	coding	1	236681513	236716280
978	CDA	coding	1	20915589	20945395
2752	GLUL	coding	1	182347232	182360924
1141	CHRNB2	coding	1	154540253	154552488
554210	MIR429	pseudo	1	1104384	1104466
493	ATP2B4	coding	1	203595959	203713208
5724	PTAFR	coding	1	28473676	28520366
7159	TP53BP2	coding	1	223967594	224033648
2782	GNB1	coding	1	1716724	1822525
909	CD1A	coding	1	158218125	158228058
5733	PTGER3	coding	1	71318040	71513498
64754	SMYD3	coding	1	245912648	246670580
6125	RPL5	coding	1	93297542	93307480
1893	ECM1	coding	1	150480584	150486264
3782	KCNN3	coding	1	154669930	154842756
80149	ZC3H12A	coding	1	37940180	37949977
56998	CTNNBIP1	coding	1	9908333	9970326
259266	ASPM	coding	1	197053256	197115798
914	CD2	coding	1	117297051	117311850
325	APCS	coding	1	159557615	159558654
2702	GJA5	coding	1	147228331	147245454
3399	ID3	coding	1	23884416	23885991
9682	KDM4A	coding	1	44115819	44171188
2701	GJA4	coding	1	35258599	35261347
6135	RPL11	coding	1	24018268	24023324
8682	PEA15	coding	1	160175173	160185161
5142	PDE4B	coding	1	66258192	66840261
54361	WNT4	coding	1	22443805	22469589
2773	GNAI3	coding	1	110091236	110142816
2104	ESRRG	coding	1	216676587	217311043
126961	H3C14	coding	1	149812258	149812779
7804	LRP8	coding	1	53708035	53793741
3915	LAMC1	coding	1	182992554	183114726
6282	S100A11	coding	1	152004981	152009479
3776	KCNK2	coding	1	215178884	215410432
1855	DVL1	coding	1	1270657	1284797
8751	ADAM15	coding	1	155023791	155035250
3608	ILF2	coding	1	153634263	153643468
3284	HSD3B2	coding	1	119957553	119965656
442891	MIR135B	pseudo	1	205417429	205417525
1382	CRABP2	coding	1	156669397	156675575
6273	S100A2	coding	1	153533583	153538319
6504	SLAMF1	coding	1	160577889	160617100
2060	EPS15	coding	1	51819934	51984937
1999	ELF3	coding	1	201979714	201986310
779	CACNA1S	coding	1	201008639	201081553
23576	DDAH1	coding	1	85784167	86043882
1063	CENPF	coding	1	214776537	214837913
9132	KCNQ4	coding	1	41249458	41306123
3766	KCNJ10	coding	1	160007256	160039949
148738	HJV	coding	1	145413277	145417542
8880	FUBP1	coding	1	78409739	78444755
29949	IL19	coding	1	206944117	207016325
406955	MIR181B1	pseudo	1	198828001	198828110
10401	PIAS3	coding	1	145575987	145586545
4881	NPR1	coding	1	153651163	153666467
1491	CTH	coding	1	70876950	70905533
1870	E2F2	coding	1	23832929	23857724
7799	PRDM2	coding	1	14026682	14151573
10216	PRG4	coding	1	186265404	186283698
83998	REG4	coding	1	120336639	120354082
79626	TNFAIP8L2	coding	1	151129124	151132224
26523	AGO1	coding	1	36335361	36396132
3930	LBR	coding	1	225589203	225616522
1718	DHCR24	coding	1	55315299	55352867
1163	CKS1B	coding	1	154947156	154951726
481	ATP1B1	coding	1	169075927	169101956
2268	FGR	coding	1	27938574	27961695
1579	CYP4A11	coding	1	47394859	47407147
2517	FUCA1	coding	1	24171566	24194779
722	C4BPA	coding	1	207277577	207318316
54206	ERRFI1	coding	1	8071786	8086368
84432	PROK1	coding	1	110993770	110999979
88	ACTN2	coding	1	236849798	236927930
8317	CDC7	coding	1	91966407	91991320
965	CD58	coding	1	117057155	117113647
10542	LAMTOR5	coding	1	110943874	110950545
8547	FCN3	coding	1	27695600	27701342
55740	ENAH	coding	1	225674530	225840824
3595	IL12RB2	coding	1	67773046	67864406
1104	RCC1	coding	1	28832554	28865500
10560	SLC19A2	coding	1	169433146	169455207
7175	TPR	coding	1	186280783	186344384
3078	CFHR1	coding	1	196788860	196801318
406977	MIR199A2	pseudo	1	172113674	172113783
8338	H2AC20	coding	1	149858467	149858960
9077	DIRAS3	coding	1	68511568	68517313
1031	CDKN2C	coding	1	51434377	51440305
845	CASQ2	coding	1	116242641	116311334
10163	WASF2	coding	1	27730733	27816677
2224	FDPS	coding	1	155278656	155290455
11240	PADI2	coding	1	17393255	17445945
2165	F13B	coding	1	197007870	197036389
5174	PDZK1	coding	1	145727665	145764206
2590	GALNT2	coding	1	230193535	230417867
107548112	LOC107548112	pseudo	1	204131293	204147606
406997	MIR215	pseudo	1	220291194	220291303
10451	VAV3	coding	1	108113782	108507801
178	AGL	coding	1	100315916	100389578
1942	EFNA1	coding	1	155100351	155107374
63976	PRDM16	coding	1	2985766	3355184
8991	SELENBP1	coding	1	151336779	151345180
50604	IL20	coding	1	207036909	207042567
406969	MIR194-1	pseudo	1	220291498	220291582
3362	HTR6	coding	1	19991367	20007458
23095	KIF1B	coding	1	10270627	10441660
51441	YTHDF2	coding	1	29063135	29096286
1733	DIO1	coding	1	54359859	54376758
406974	MIR197	pseudo	1	110141514	110141588
5081	PAX7	coding	1	18957339	19075359
1907	EDN2	coding	1	41944445	41950353
407031	MIR30C1	pseudo	1	41222955	41223043
81607	NECTIN4	coding	1	161040787	161059347
2672	GFI1	coding	1	92938599	92952481
7203	CCT3	coding	1	156278758	156308082
3061	HCRTR1	coding	1	32083289	32093213
6391	SDHC	coding	1	161284170	161345129
4209	MEF2D	coding	1	156433518	156470566
10459	MAD2L2	coding	1	11734536	11751615
5351	PLOD1	coding	1	11994773	12035593
9939	RBM8A	coding	1	145507608	145513535
63967	CLSPN	coding	1	36185813	36235578
7188	TRAF5	coding	1	211499976	211548287
375790	AGRN	coding	1	955499	991495
2730	GCLM	coding	1	94350754	94374985
9181	ARHGEF2	coding	1	155916644	155949407
55170	PRMT6	coding	1	107599295	107601915
27	ABL2	coding	1	179068464	179198811
55210	ATAD3A	coding	1	1447541	1470064
25974	MMACHC	coding	1	45965971	45979053
3737	KCNA2	coding	1	111136201	111174061
6491	STIL	coding	1	47715810	47780567
64802	NMNAT1	coding	1	10002980	10045555
1314	COPA	coding	1	160258383	160313039
8718	TNFRSF25	coding	1	6520845	6526232
3752	KCND3	coding	1	112313283	112532289
5792	PTPRF	coding	1	43991707	44089336
7389	UROD	coding	1	45477925	45481246
8569	MKNK1	coding	1	47023078	47069939
11124	FAF1	coding	1	50902699	51425938
984	CDK11B	coding	1	1570602	1590464
51592	TRIM33	coding	1	114935411	115053823
5498	PPOX	coding	1	161136215	161141009
10269	ZMPSTE24	coding	1	40723907	40759851
2707	GJB3	coding	1	35246814	35251964
29956	CERS2	coding	1	150937661	150947310
2058	EPRS1	coding	1	220141941	220219846
8784	TNFRSF18	coding	1	1138887	1141971
9557	CHD1L	coding	1	146644325	146767442
1677	DFFB	coding	1	3774039	3801992
2331	FMOD	coding	1	203309755	203320249
27101	CACYBP	coding	1	174968570	174981162
79084	WDR77	coding	1	111982511	111991877
1600	DAB1	coding	1	57460450	59012397
6232	RPS27	coding	1	153963237	153964630
6258	RXRG	coding	1	165370158	165414362
9698	PUM1	coding	1	31404352	31538563
8565	YARS1	coding	1	33240839	33282958
5538	PPT1	coding	1	40537132	40562923
84676	TRIM63	coding	1	26377791	26394120
9928	KIF14	coding	1	200520624	200589878
26135	SERBP1	coding	1	67873492	67896084
64326	COP1	coding	1	175913966	176176421
5824	PEX19	coding	1	160246596	160254940
3310	HSPA6	coding	1	161494329	161496683
5737	PTGFR	coding	1	78956658	79006385
7709	ZBTB17	coding	1	16268363	16302595
51377	UCHL5	coding	1	192981383	193029205
29089	UBE2T	coding	1	202300784	202311063
6146	RPL22	coding	1	6245079	6259654
5867	RAB4A	coding	1	229406857	229441640
6375	XCL1	coding	1	168545842	168551306
3140	MR1	coding	1	181002522	181031073
1996	ELAVL4	coding	1	50513726	50669443
4343	MOV10	coding	1	113216933	113243367
5298	PI4KB	coding	1	151264272	151300190
1188	CLCNKB	coding	1	16370276	16383820
5929	RBBP5	coding	1	205055269	205091105
6342	SCP2	coding	1	53392947	53517369
56950	SMYD2	coding	1	214454501	214510473
57111	RAB25	coding	1	156030950	156040294
7398	USP1	coding	1	62902065	62917474
713	C1QB	coding	1	22979728	22988129
83756	TAS1R3	coding	1	1266659	1270693
962	CD48	coding	1	160648535	160681611
284654	RSPO1	coding	1	38076950	38100563
10487	CAP1	coding	1	40505911	40538319
5686	PSMA5	coding	1	109941663	109969069
81839	VANGL1	coding	1	116184590	116240841
10236	HNRNPR	coding	1	23631180	23670776
911	CD1C	coding	1	158259712	158264563
8503	PIK3R3	coding	1	46505811	46640572
407034	MIR30E	pseudo	1	41220026	41220117
3151	HMGN2	coding	1	26798930	26803132
5909	RAP1GAP	coding	1	21922713	21995849
110013312	LOC110013312	pseudo	1	156210634	156212056
4678	NASP	coding	1	46049712	46084564
9826	ARHGEF11	coding	1	156904631	157016694
910	CD1B	coding	1	158297744	158301320
51514	DTL	coding	1	212209089	212278354
8407	TAGLN2	coding	1	159887900	159895296
25932	CLIC4	coding	1	25071937	25170811
1629	DBT	coding	1	100652474	100715389
1298	COL9A2	coding	1	40766160	40782957
5236	PGM1	coding	1	64059081	64125915
5567	PRKACB	coding	1	84543761	84704180
51022	GLRX2	coding	1	193065594	193075243
765	CA6	coding	1	9005926	9035150
8490	RGS5	coding	1	163112088	163291524
4811	NID1	coding	1	236139129	236228389
777	CACNA1E	coding	1	181452652	181777218
5287	PIK3C2B	coding	1	204391760	204463932
5525	PPP2R5A	coding	1	212458751	212535194
5825	ABCD3	coding	1	94883944	94984218
26038	CHD5	coding	1	6161846	6240380
5317	PKP1	coding	1	201252633	201302116
9129	PRPF3	coding	1	150293916	150325708
6738	RO60	coding	1	193028741	193060906
29914	UBIAD1	coding	1	11333254	11359630
407025	MIR29B2	pseudo	1	207975787	207975867
23633	KPNA6	coding	1	32573656	32642163
5768	QSOX1	coding	1	180124003	180173164
2582	GALE	coding	1	24122088	24127243
107880064	LOC107880064	pseudo	1	152878522	152882261
4774	NFIA	coding	1	61542898	61928459
714	C1QC	coding	1	22970125	22974600
10262	SF3B4	coding	1	149895208	149899694
607	BCL9	coding	1	147013270	147098016
5692	PSMB4	coding	1	151372048	151374412
1130	LYST	coding	1	235824330	236047012
5322	PLA2G5	coding	1	20396686	20418403
8761	PABPC4	coding	1	40026487	40042461
23499	MACF1	coding	1	39549838	39952809
83593	RASSF5	coding	1	206680863	206762779
1043	CD52	coding	1	26644448	26647013
4998	ORC1	coding	1	52838500	52870094
6202	RPS8	coding	1	45241211	45244450
1676	DFFA	coding	1	10516578	10532585
732	C8B	coding	1	57394879	57431687
5394	EXOSC10	coding	1	11126674	11159925
93974	ATP5IF1	coding	1	28562634	28564610
4656	MYOG	coding	1	203052256	203055139
8668	EIF3I	coding	1	32687184	32697204
7818	DAP3	coding	1	155658881	155708800
6635	SNRPE	coding	1	203830726	203840279
85028	SNHG12	pseudo	1	28905049	28909494
6016	RIT1	coding	1	155867598	155881139
5396	PRRX1	coding	1	170633271	170708561
55143	CDCA8	coding	1	38158187	38175390
27022	FOXD3	coding	1	63788237	63790798
81609	SNX27	coding	1	151584525	151671555
1263	PLK3	coding	1	45266048	45271661
200186	CRTC2	coding	1	153920150	153931087
829	CAPZA1	coding	1	113162453	113214237
3713	IVL	coding	1	152881021	152884361
57212	TP73-AS1	pseudo	1	3652547	3663936
1510	CTSE	coding	1	206317472	206332103
9563	H6PD	coding	1	9294832	9331395
2946	GSTM2	coding	1	110210678	110226618
5784	PTPN14	coding	1	214522042	214724944
11330	CTRC	coding	1	15764938	15775736
279	AMY2A	coding	1	104160048	104168401
55624	POMGNT1	coding	1	46654354	46685976
8412	BCAR3	coding	1	94027297	94312774
84722	PSRC1	coding	1	109822177	109825766
3155	HMGCL	coding	1	24128374	24151918
9967	THRAP3	coding	1	36690043	36770957
11218	DDX20	coding	1	112298522	112310621
107548103	LOC107548103	pseudo	1	236259417	236261290
57823	SLAMF7	coding	1	160708846	160724610
6536	SLC6A9	coding	1	44462154	44497133
832	CAPZB	coding	1	19665268	19812032
110594336	LOC110594336	pseudo	1	31901652	31907509
7812	CSDE1	coding	1	115259536	115300604
60676	PAPPA2	coding	1	176432310	176814736
1179	CLCA1	coding	1	86934609	86965941
2207	FCER1G	coding	1	161185084	161189034
51100	SH3GLB1	coding	1	87170258	87213866
26119	LDLRAP1	coding	1	25870096	25895376
55811	ADCY10	coding	1	167778622	167883371
375033	PEAR1	coding	1	156863509	156886220
5511	PPP1R8	coding	1	28157292	28178186
5586	PKN2	coding	1	89149955	89301937
28982	FLVCR1	coding	1	213031616	213072704
23114	NFASC	coding	1	204797779	204991949
23566	LPAR3	coding	1	85277284	85358888
64710	NUCKS1	coding	1	205681949	205719309
57402	S100A14	coding	1	153586730	153588800
4014	LORICRIN	coding	1	153232162	153234599
9341	VAMP3	coding	1	7831355	7841491
7482	WNT2B	coding	1	113009162	113072786
4610	MYCL	coding	1	40361099	40367588
57459	GATAD2B	coding	1	153777200	153895447
10878	CFHR3	coding	1	196743969	196764536
64746	ACBD3	coding	1	226332379	226374441
3142	HLX	coding	1	221052784	221058400
29899	GPSM2	coding	1	109419606	109477166
9804	TOMM20	coding	1	235272655	235292151
10726	NUDC	coding	1	27248233	27273361
1503	CTPS1	coding	1	41445367	41478236
7143	TNR	coding	1	175284329	175712730
6518	SLC2A5	coding	1	9095164	9132317
7075	TIE1	coding	1	43766652	43788778
163702	IFNLR1	coding	1	24480657	24513778
11126	CD160	coding	1	145695797	145715585
8394	PIP5K1A	coding	1	151171027	151222006
81494	CFHR5	coding	1	196946685	196978807
8543	LMO4	coding	1	87794562	87814605
23261	CAMTA1	coding	1	6845513	7829765
10228	STX6	coding	1	180941860	180992005
9048	ARTN	coding	1	44399472	44402911
1296	COL8A2	coding	1	36560839	36590822
5996	RGS1	coding	1	192544902	192549153
8995	TNFSF18	coding	1	173008341	173020080
6900	CNTN2	coding	1	205012076	205047416
90780	PYGO2	coding	1	154929501	154934257
79971	WLS	coding	1	68564141	68698228
84033	OBSCN	coding	1	228395744	228566576
693235	MIR92B	pseudo	1	155164967	155165062
57190	SELENON	coding	1	26126683	26144711
10277	UBE4B	coding	1	10093015	10241296
51107	APH1A	coding	1	150237803	150241415
26052	DNM3	coding	1	171810637	172387605
553	AVPR1B	coding	1	206223942	206234394
5208	PFKFB2	coding	1	207226619	207254371
8438	RAD54L	coding	1	46713359	46744144
9898	UBAP2L	coding	1	154192647	154243985
963	CD53	coding	1	111413831	111442543
23436	CELA3B	coding	1	22303514	22315846
9672	SDC3	coding	1	31342312	31381604
58985	IL22RA1	coding	1	24446260	24469629
83540	NUF2	coding	1	163291743	163325548
1650	DDOST	coding	1	20978269	20987861
8556	CDC14A	coding	1	100810556	100985832
9900	SV2A	coding	1	149874869	149889395
10250	SRRM1	coding	1	24969792	24999771
5690	PSMB2	coding	1	36065141	36107126
2327	FMO2	coding	1	171154346	171181824
64218	SEMA4A	coding	1	156119734	156147534
3158	HMGCS2	coding	1	120290618	120311554
23126	POGZ	coding	1	151375199	151431969
257194	NEGR1	coding	1	71861625	72748221
81559	TRIM11	coding	1	228581376	228594535
4720	NDUFS2	coding	1	161167206	161184184
554313	H4C15	coding	1	149825656	149832724
11221	DUSP10	coding	1	221874765	221915430
10768	AHCYL1	coding	1	110527386	110566363
1580	CYP4B1	coding	1	47264717	47285084
333932	H3C15	coding	1	149824169	149824686
55920	RCC2	coding	1	17733255	17766172
10969	EBNA1BP2	coding	1	43629844	43638240
23032	USP33	coding	1	78161671	78225536
728642	CDK11A	coding	1	1633817	1655795
85440	DOCK7	coding	1	62920396	63154056
80232	WDR26	coding	1	224572847	224622498
6429	SRSF4	coding	1	29474254	29508411
140609	NEK7	coding	1	198126127	198291549
5872	RAB13	coding	1	153954125	153958814
4009	LMX1A	coding	1	165171103	165325951
375056	MIA3	coding	1	222791438	222841348
10772	SRSF10	coding	1	24290836	24306816
731	C8A	coding	1	57320469	57383895
4802	NFYC	coding	1	41157375	41237274
83417	FCRL4	coding	1	157543536	157567874
9635	CLCA2	coding	1	86889853	86922235
51043	ZBTB7B	coding	1	154975124	154990998
56957	OTUD7B	coding	1	149909704	149982674
55532	SLC30A10	coding	1	220083786	220132439
8476	CDC42BPA	coding	1	227177558	227506192
23013	SPEN	coding	1	16174201	16266950
4520	MTF1	coding	1	38275245	38325263
114836	SLAMF6	coding	1	160454825	160493044
6339	SCNN1D	coding	1	1215815	1227404
7135	TNNI1	coding	1	201372911	201390857
51177	PLEKHO1	coding	1	150121835	150132259
204	AK2	coding	1	33473540	33502483
55157	DARS2	coding	1	173793810	173827683
10103	TSPAN1	coding	1	46640758	46651633
913	CD1E	coding	1	158323683	158327342
27005	USP21	coding	1	161129289	161135512
